code,quarter,year,variable,value
AAA,1,2014,total equity,558110
AAM,1,2014,total equity,260174
ABT,1,2014,total equity,416038
ACB,1,2014,total equity,12761735
ACC,1,2014,total equity,205571
ACL,1,2014,total equity,270805
AGM,1,2014,total equity,365573
AGR,1,2014,total equity,2283780
AMD,1,2014,total equity,308824
ANV,1,2014,total equity,1362760
APC,1,2014,total equity,163001
APG,1,2014,total equity,104942
ASM,1,2014,total equity,710712
ASP,1,2014,total equity,255119
BBC,1,2014,total equity,605635
BCE,1,2014,total equity,372346
BIC,1,2014,total equity,693000
BID,1,2014,total equity,33450451
BMC,1,2014,total equity,209292
BMI,1,2014,total equity,755000
BMP,1,2014,total equity,1566569
BRC,1,2014,total equity,180533
BSI,1,2014,total equity,702683
BTP,1,2014,total equity,1005682
BTT,1,2014,total equity,269265
BVH,1,2014,total equity,6804714
C32,1,2014,total equity,235682
C47,1,2014,total equity,165888
CAV,1,2014,total equity,567416
CCI,1,2014,total equity,194317
CCL,1,2014,total equity,275788
CDC,1,2014,total equity,247850
CHP,1,2014,total equity,1279358
CIG,1,2014,total equity,120776
CII,1,2014,total equity,1588079
CLC,1,2014,total equity,298884
CLG,1,2014,total equity,206816
CLL,1,2014,total equity,391090
CLW,1,2014,total equity,203939
CMG,1,2014,total equity,587357
CMV,1,2014,total equity,161550
CMX,1,2014,total equity,36336
CNG,1,2014,total equity,427916
COM,1,2014,total equity,359092
CSM,1,2014,total equity,1296982
CSV,1,2014,total equity,591658
CTD,1,2014,total equity,2319010
CTG,1,2014,total equity,55192443
CTI,1,2014,total equity,177051
CTS,1,2014,total equity,917607
CVT,1,2014,total equity,127972
D2D,1,2014,total equity,345811
DAG,1,2014,total equity,182483
DBC,1,2014,total equity,1754262
DBT,1,2014,total equity,88026
DC4,1,2014,total equity,81376
DCL,1,2014,total equity,291527
DGC,1,2014,total equity,626746
DHA,1,2014,total equity,306615
DHC,1,2014,total equity,234841
DHG,1,2014,total equity,2099732
DHM,1,2014,total equity,270612
DIG,1,2014,total equity,2383166
DLG,1,2014,total equity,825695
DMC,1,2014,total equity,658496
DPM,1,2014,total equity,8737821
DPR,1,2014,total equity,2343855
DQC,1,2014,total equity,852100
DRC,1,2014,total equity,1465493
DRH,1,2014,total equity,178529
DRL,1,2014,total equity,117424
DSN,1,2014,total equity,132676
DTA,1,2014,total equity,100967
DTL,1,2014,total equity,745275
DTT,1,2014,total equity,111727
DVP,1,2014,total equity,764474
DXG,1,2014,total equity,868112
DXV,1,2014,total equity,103751
EIB,1,2014,total equity,14965404
ELC,1,2014,total equity,625297
EMC,1,2014,total equity,84119
EVE,1,2014,total equity,776251
FCM,1,2014,total equity,295643
FCN,1,2014,total equity,632080
FDC,1,2014,total equity,629277
FIT,1,2014,total equity,226127
FLC,1,2014,total equity,1828672
FMC,1,2014,total equity,231966
FPT,1,2014,total equity,7574003
FTS,1,2014,total equity,1198576
GAS,1,2014,total equity,35494121
GDT,1,2014,total equity,183318
GEX,1,2014,total equity,2138801
GIL,1,2014,total equity,344772
GMC,1,2014,total equity,201850
GMD,1,2014,total equity,4519679
GSP,1,2014,total equity,386561
GTA,1,2014,total equity,149590
GTN,1,2014,total equity,715734
HAG,1,2014,total equity,13223421
HAI,1,2014,total equity,361562
HAP,1,2014,total equity,558753
HAR,1,2014,total equity,384101
HAS,1,2014,total equity,154802
HAX,1,2014,total equity,84918
HBC,1,2014,total equity,951926
HCM,1,2014,total equity,2346469
HDB,1,2014,total equity,8626692
HDC,1,2014,total equity,566042
HDG,1,2014,total equity,734022
HHS,1,2014,total equity,514091
HID,1,2014,total equity,65861
HMC,1,2014,total equity,321679
HOT,1,2014,total equity,105672
HPG,1,2014,total equity,10309475
HQC,1,2014,total equity,957133
HRC,1,2014,total equity,502728
HSG,1,2014,total equity,2242466
HT1,1,2014,total equity,3307616
HTI,1,2014,total equity,325664
HTL,1,2014,total equity,106004
HTV,1,2014,total equity,265722
HU1,1,2014,total equity,161281
HU3,1,2014,total equity,160221
HVX,1,2014,total equity,402298
IDI,1,2014,total equity,586897
IJC,1,2014,total equity,3026556
IMP,1,2014,total equity,743515
ITA,1,2014,total equity,7813134
ITC,1,2014,total equity,1471873
ITD,1,2014,total equity,197865
JVC,1,2014,total equity,962543
KBC,1,2014,total equity,4063761
KDC,1,2014,total equity,4917045
KDH,1,2014,total equity,1043324
KHP,1,2014,total equity,548731
KMR,1,2014,total equity,443809
KSB,1,2014,total equity,473205
L10,1,2014,total equity,183665
LAF,1,2014,total equity,116706
LBM,1,2014,total equity,123633
LCG,1,2014,total equity,794035
LCM,1,2014,total equity,269947
LEC,1,2014,total equity,230192
