code,quarter,year,variable,value
CTG,1,2011,total equity,22615899
KSB,1,2011,total equity,409344
PHC,1,2011,total equity,157942
STB,1,2011,total equity,14339855
VCB,1,2011,total equity,26561802
AAA,1,2011,total equity,302752
ANV,1,2011,total equity,1438509
APG,1,2011,total equity,136815
ASM,1,2011,total equity,632556
BMP,1,2011,total equity,906636
CCL,1,2011,total equity,285122
CII,1,2011,total equity,1397167
CMG,1,2011,total equity,688844
CTD,1,2011,total equity,1314166
CTI,1,2011,total equity,205118
CVT,1,2011,total equity,125269
D2D,1,2011,total equity,322823
DAG,1,2011,total equity,143138
DBC,1,2011,total equity,1017033
DCL,1,2011,total equity,328542
DHC,1,2011,total equity,207496
DHG,1,2011,total equity,1368081
DIG,1,2011,total equity,2355027
DLG,1,2011,total equity,408841
DPM,1,2011,total equity,6696998
DRC,1,2011,total equity,752098
DRH,1,2011,total equity,219452
DXG,1,2011,total equity,260002
EIB,1,2011,total equity,14135846
FPT,1,2011,total equity,4274842
FTS,1,2011,total equity,516223
GIL,1,2011,total equity,379729
GMD,1,2011,total equity,3996751
HAG,1,2011,total equity,8909467
HAI,1,2011,total equity,406868
HAX,1,2011,total equity,116617
HBC,1,2011,total equity,694740
HCM,1,2011,total equity,1630892
HDB,1,2011,total equity,3483610
HDC,1,2011,total equity,507995
HDG,1,2011,total equity,596506
HHS,1,2011,total equity,238522
HPG,1,2011,total equity,6876002
HQC,1,2011,total equity,805815
HSG,1,2011,total equity,1755533
HT1,1,2011,total equity,1453268
IDI,1,2011,total equity,529785
IJC,1,2011,total equity,2870803
IMP,1,2011,total equity,663841
ITA,1,2011,total equity,5816161
JVC,1,2011,total equity,297061
KBC,1,2011,total equity,4429134
KDH,1,2011,total equity,1213579
LCG,1,2011,total equity,1233314
LHG,1,2011,total equity,561277
MBB,1,2011,total equity,9450015
MSN,1,2011,total equity,12022020
NKG,1,2011,total equity,429448
NTL,1,2011,total equity,928066
OGC,1,2011,total equity,3240428
PDR,1,2011,total equity,1414270
PHR,1,2011,total equity,1539745
PNJ,1,2011,total equity,1128465
PPC,1,2011,total equity,3898855
PTB,1,2011,total equity,133465
PVD,1,2011,total equity,5517149
PVT,1,2011,total equity,2187996
REE,1,2011,total equity,2692603
SAM,1,2011,total equity,2411776
SBT,1,2011,total equity,1832351
SCR,1,2011,total equity,2240714
SHI,1,2011,total equity,391465
SSI,1,2011,total equity,5281133
SZL,1,2011,total equity,496719
TCM,1,2011,total equity,762745
TDH,1,2011,total equity,1351189
TLG,1,2011,total equity,412365
TNA,1,2011,total equity,214319
TPB,1,2011,total equity,3249544
VHC,1,2011,total equity,1016523
VIC,1,2011,total equity,7472723
VND,1,2011,total equity,1199276
VNG,1,2011,total equity,144753
VNM,1,2011,total equity,8905150
VPB,1,2011,total equity,5496297
VSC,1,2011,total equity,542723
GEG,2,2011,total equity,395139
HDC,2,2011,total equity,522190
NT2,2,2011,total equity,1754910
SMB,2,2011,total equity,343618
VPB,2,2011,total equity,5643928
AAA,2,2011,total equity,311510
ANV,2,2011,total equity,1398508
APG,2,2011,total equity,134252
ASM,2,2011,total equity,654204
BMP,2,2011,total equity,974937
CCL,2,2011,total equity,261946
CII,2,2011,total equity,1152778
CMG,2,2011,total equity,695247
CTD,2,2011,total equity,1316138
CTG,2,2011,total equity,22735987
CTI,2,2011,total equity,185131
CVT,2,2011,total equity,111538
D2D,2,2011,total equity,331857
DAG,2,2011,total equity,140687
DBC,2,2011,total equity,1047064
DCL,2,2011,total equity,252483
DHC,2,2011,total equity,210138
DHG,2,2011,total equity,1239633
DIG,2,2011,total equity,2355393
DLG,2,2011,total equity,413981
DPM,2,2011,total equity,7130385
DRC,2,2011,total equity,780740
DRH,2,2011,total equity,194112
DXG,2,2011,total equity,270073
EIB,2,2011,total equity,14544381
FCN,2,2011,total equity,226296
FLC,2,2011,total equity,220071
FPT,2,2011,total equity,4590719
FTS,2,2011,total equity,1026548
GIL,2,2011,total equity,358067
GMD,2,2011,total equity,3912871
HAG,2,2011,total equity,8787420
HAI,2,2011,total equity,402580
HAX,2,2011,total equity,116862
HBC,2,2011,total equity,716368
HCM,2,2011,total equity,1624803
HDB,2,2011,total equity,3359647
HDG,2,2011,total equity,600551
HHS,2,2011,total equity,257626
HPG,2,2011,total equity,7187337
HQC,2,2011,total equity,780835
HSG,2,2011,total equity,1748369
HT1,2,2011,total equity,1727317
IDI,2,2011,total equity,558958
IJC,2,2011,total equity,2887540
IMP,2,2011,total equity,683850
ITA,2,2011,total equity,5839454
JVC,2,2011,total equity,303854
KBC,2,2011,total equity,4381371
KDH,2,2011,total equity,1215679
KSB,2,2011,total equity,392123
LCG,2,2011,total equity,1214867
LHG,2,2011,total equity,554917
MBB,2,2011,total equity,9604835
MSN,2,2011,total equity,14624701
NKG,2,2011,total equity,422512
NTL,2,2011,total equity,938747
OGC,2,2011,total equity,3338159
PDR,2,2011,total equity,1422314
PHC,2,2011,total equity,159471
PHR,2,2011,total equity,1462368
PNJ,2,2011,total equity,1141414
PPC,2,2011,total equity,4092887
PTB,2,2011,total equity,147922
PVD,2,2011,total equity,5702738
PVT,2,2011,total equity,2186971
REE,2,2011,total equity,2760541
SAM,2,2011,total equity,2306172
SBT,2,2011,total equity,1814901
SCR,2,2011,total equity,2196053
SHI,2,2011,total equity,395732
SSI,2,2011,total equity,4885647
STB,2,2011,total equity,13461302
SZL,2,2011,total equity,491032
TCM,2,2011,total equity,738807
TDH,2,2011,total equity,1310552
TLG,2,2011,total equity,438433
TNA,2,2011,total equity,224311
TPB,2,2011,total equity,3203858
VCB,2,2011,total equity,27555243
VHC,2,2011,total equity,1117307
VIC,2,2011,total equity,6029303
VND,2,2011,total equity,1100173
VNG,2,2011,total equity,140075
VNM,2,2011,total equity,11323172
VSC,2,2011,total equity,599606
BID,3,2011,total equity,24648189
DCL,3,2011,total equity,334886
FCN,3,2011,total equity,248016
GAS,3,2011,total equity,24983661
GIL,3,2011,total equity,355110
HAG,3,2011,total equity,9125878
HAX,3,2011,total equity,110310
HDB,3,2011,total equity,3466270
HHS,3,2011,total equity,277776
TPB,3,2011,total equity,3278004
VHM,3,2011,total equity,2042283
VND,3,2011,total equity,1112037
AAA,3,2011,total equity,329784
ANV,3,2011,total equity,1421807
APG,3,2011,total equity,132297
ASM,3,2011,total equity,677218
BMP,3,2011,total equity,1043043
CCL,3,2011,total equity,264453
CII,3,2011,total equity,1209288
CMG,3,2011,total equity,690226
CTD,3,2011,total equity,1380592
CTG,3,2011,total equity,24313306
CTI,3,2011,total equity,185908
CVT,3,2011,total equity,118659
D2D,3,2011,total equity,332305
DAG,3,2011,total equity,143164
DBC,3,2011,total equity,1184130
DHC,3,2011,total equity,201388
DHG,3,2011,total equity,1340218
DIG,3,2011,total equity,2439702
DLG,3,2011,total equity,422465
DPM,3,2011,total equity,7834578
DRC,3,2011,total equity,819099
DRH,3,2011,total equity,193354
DXG,3,2011,total equity,281973
EIB,3,2011,total equity,15296354
FLC,3,2011,total equity,220762
FPT,3,2011,total equity,5450140
FTS,3,2011,total equity,1069745
GMD,3,2011,total equity,3920951
HAI,3,2011,total equity,397663
HBC,3,2011,total equity,715372
HCM,3,2011,total equity,1681225
HDC,3,2011,total equity,531412
HDG,3,2011,total equity,610740
HPG,3,2011,total equity,7299169
HQC,3,2011,total equity,781690
HSG,3,2011,total equity,1782725
HT1,3,2011,total equity,1642040
IDI,3,2011,total equity,579007
IJC,3,2011,total equity,2957357
IMP,3,2011,total equity,707709
ITA,3,2011,total equity,5857538
JVC,3,2011,total equity,314329
KBC,3,2011,total equity,4362508
KDH,3,2011,total equity,1220873
KSB,3,2011,total equity,415010
LCG,3,2011,total equity,1236419
LHG,3,2011,total equity,549733
MBB,3,2011,total equity,10193770
MSN,3,2011,total equity,14983051
NKG,3,2011,total equity,424259
NTL,3,2011,total equity,963513
OGC,3,2011,total equity,3360242
PDR,3,2011,total equity,1414894
PHC,3,2011,total equity,161212
PHR,3,2011,total equity,1636057
PNJ,3,2011,total equity,1131496
PPC,3,2011,total equity,4008318
PTB,3,2011,total equity,163288
PVD,3,2011,total equity,5966281
PVT,3,2011,total equity,2249877
REE,3,2011,total equity,3670594
SAM,3,2011,total equity,2305273
SBT,3,2011,total equity,1786960
SCR,3,2011,total equity,2320176
SHI,3,2011,total equity,377042
SSI,3,2011,total equity,4968801
STB,3,2011,total equity,14021694
SZL,3,2011,total equity,486699
TCM,3,2011,total equity,740408
TDH,3,2011,total equity,1302945
TLG,3,2011,total equity,466545
TNA,3,2011,total equity,228962
VCB,3,2011,total equity,28533082
VHC,3,2011,total equity,1200348
VIC,3,2011,total equity,6254944
VNG,3,2011,total equity,140215
VNM,3,2011,total equity,11539807
VSC,3,2011,total equity,602565
AAA,4,2011,total equity,350355
ANV,4,2011,total equity,1453452
APG,4,2011,total equity,99096
ASM,4,2011,total equity,672183
BID,4,2011,total equity,24390455
BMP,4,2011,total equity,1049541
CCL,4,2011,total equity,266065
CII,4,2011,total equity,1231544
CMG,4,2011,total equity,692011
CTD,4,2011,total equity,1437900
CTG,4,2011,total equity,28509348
CTI,4,2011,total equity,187947
CVT,4,2011,total equity,123299
D2D,4,2011,total equity,321947
DAG,4,2011,total equity,152699
DBC,4,2011,total equity,1231145
DCL,4,2011,total equity,267409
DHC,4,2011,total equity,202460
DHG,4,2011,total equity,1395706
DIG,4,2011,total equity,2375657
DLG,4,2011,total equity,424406
DPM,4,2011,total equity,8299999
DRC,4,2011,total equity,877756
DRH,4,2011,total equity,193778
DXG,4,2011,total equity,401390
EIB,4,2011,total equity,16303357
FCN,4,2011,total equity,262006
FLC,4,2011,total equity,221085
FPT,4,2011,total equity,5529647
FTS,4,2011,total equity,1113195
GIL,4,2011,total equity,324554
GMD,4,2011,total equity,4274511
HAG,4,2011,total equity,9384522
HAI,4,2011,total equity,358145
HAX,4,2011,total equity,107483
HBC,4,2011,total equity,724364
HCM,4,2011,total equity,2028968
HDC,4,2011,total equity,557686
HDG,4,2011,total equity,716295
HHS,4,2011,total equity,301571
HPG,4,2011,total equity,7874606
HQC,4,2011,total equity,711963
HSG,4,2011,total equity,1885857
HT1,4,2011,total equity,1772104
IDI,4,2011,total equity,567560
IJC,4,2011,total equity,3138879
IMP,4,2011,total equity,708696
ITA,4,2011,total equity,5879093
JVC,4,2011,total equity,424051
KBC,4,2011,total equity,4418886
KDH,4,2011,total equity,1209392
KSB,4,2011,total equity,422668
LCG,4,2011,total equity,1163112
