code,quarter,year,variable,value
AAA,1,2014,total liabilities,500925
AAM,1,2014,total liabilities,33866
ABT,1,2014,total liabilities,210774
ACB,1,2014,total liabilities,160628787
ACC,1,2014,total liabilities,55791
ACL,1,2014,total liabilities,479309
AGM,1,2014,total liabilities,895756
AGR,1,2014,total liabilities,1671747
AMD,1,2014,total liabilities,40973
ANV,1,2014,total liabilities,1554129
APC,1,2014,total liabilities,56404
APG,1,2014,total liabilities,34444
ASM,1,2014,total liabilities,1043529
ASP,1,2014,total liabilities,504874
BBC,1,2014,total liabilities,146549
BCE,1,2014,total liabilities,400901
BIC,1,2014,total liabilities,1559184
BID,1,2014,total liabilities,538513168
BMC,1,2014,total liabilities,56092
BMI,1,2014,total liabilities,2633230
BMP,1,2014,total liabilities,170687
BRC,1,2014,total liabilities,118789
BSI,1,2014,total liabilities,2867436
BTP,1,2014,total liabilities,1031588
BTT,1,2014,total liabilities,77502
BVH,1,2014,total liabilities,46136144
C32,1,2014,total liabilities,65033
C47,1,2014,total liabilities,1678737
CAV,1,2014,total liabilities,1340352
CCI,1,2014,total liabilities,384523
CCL,1,2014,total liabilities,263145
CDC,1,2014,total liabilities,520556
CHP,1,2014,total liabilities,2105327
CIG,1,2014,total liabilities,399698
CII,1,2014,total liabilities,6171817
CLC,1,2014,total liabilities,428178
CLG,1,2014,total liabilities,931155
CLL,1,2014,total liabilities,121664
CLW,1,2014,total liabilities,135452
CMG,1,2014,total liabilities,1051543
CMV,1,2014,total liabilities,331002
CMX,1,2014,total liabilities,523558
CNG,1,2014,total liabilities,200821
COM,1,2014,total liabilities,182094
CSM,1,2014,total liabilities,1772349
CSV,1,2014,total liabilities,284903
CTD,1,2014,total liabilities,1784084
CTG,1,2014,total liabilities,503374534
CTI,1,2014,total liabilities,1745965
CTS,1,2014,total liabilities,363219
CVT,1,2014,total liabilities,337692
D2D,1,2014,total liabilities,741061
DAG,1,2014,total liabilities,514871
DBC,1,2014,total liabilities,2060494
DBT,1,2014,total liabilities,210377
DC4,1,2014,total liabilities,204167
DCL,1,2014,total liabilities,329123
DGC,1,2014,total liabilities,609703
DHA,1,2014,total liabilities,29133
DHC,1,2014,total liabilities,171057
DHG,1,2014,total liabilities,766669
DHM,1,2014,total liabilities,67976
DIG,1,2014,total liabilities,2112621
DLG,1,2014,total liabilities,1706476
DMC,1,2014,total liabilities,319508
DPM,1,2014,total liabilities,1929886
DPR,1,2014,total liabilities,493026
DQC,1,2014,total liabilities,835582
DRC,1,2014,total liabilities,1777390
DRH,1,2014,total liabilities,115767
DRL,1,2014,total liabilities,5602
DSN,1,2014,total liabilities,15007
DTA,1,2014,total liabilities,139219
DTL,1,2014,total liabilities,1486536
DTT,1,2014,total liabilities,22492
DVP,1,2014,total liabilities,186600
DXG,1,2014,total liabilities,598604
DXV,1,2014,total liabilities,168055
EIB,1,2014,total liabilities,138492393
ELC,1,2014,total liabilities,324915
EMC,1,2014,total liabilities,206704
EVE,1,2014,total liabilities,128275
FCM,1,2014,total liabilities,342853
FCN,1,2014,total liabilities,887027
FDC,1,2014,total liabilities,245608
FIT,1,2014,total liabilities,47121
FLC,1,2014,total liabilities,753138
FMC,1,2014,total liabilities,479410
FPT,1,2014,total liabilities,8710120
FTS,1,2014,total liabilities,1198508
GAS,1,2014,total liabilities,14384828
GDT,1,2014,total liabilities,81413
GEX,1,2014,total liabilities,2589108
GIL,1,2014,total liabilities,592800
GMC,1,2014,total liabilities,317508
GMD,1,2014,total liabilities,2912221
GSP,1,2014,total liabilities,267669
GTA,1,2014,total liabilities,70789
GTN,1,2014,total liabilities,77575
HAG,1,2014,total liabilities,16922433
HAI,1,2014,total liabilities,518500
HAP,1,2014,total liabilities,682499
HAR,1,2014,total liabilities,47205
HAS,1,2014,total liabilities,50789
HAX,1,2014,total liabilities,139552
HBC,1,2014,total liabilities,3771105
HCM,1,2014,total liabilities,1122265
HDB,1,2014,total liabilities,67652894
HDC,1,2014,total liabilities,641393
HDG,1,2014,total liabilities,1453537
HHS,1,2014,total liabilities,246882
HID,1,2014,total liabilities,26776
HMC,1,2014,total liabilities,705718
HOT,1,2014,total liabilities,50498
HPG,1,2014,total liabilities,11256742
HQC,1,2014,total liabilities,2264789
HRC,1,2014,total liabilities,184390
HSG,1,2014,total liabilities,6824191
HT1,1,2014,total liabilities,9586156
HTI,1,2014,total liabilities,699634
HTL,1,2014,total liabilities,98799
HTV,1,2014,total liabilities,97914
HU1,1,2014,total liabilities,697986
HU3,1,2014,total liabilities,482190
HVX,1,2014,total liabilities,823500
IDI,1,2014,total liabilities,1120253
IJC,1,2014,total liabilities,1737709
IMP,1,2014,total liabilities,100689
ITA,1,2014,total liabilities,3038782
ITC,1,2014,total liabilities,819818
ITD,1,2014,total liabilities,210645
JVC,1,2014,total liabilities,773901
KBC,1,2014,total liabilities,7524143
KDC,1,2014,total liabilities,1279626
KDH,1,2014,total liabilities,889823
KHP,1,2014,total liabilities,658929
KMR,1,2014,total liabilities,162842
KSB,1,2014,total liabilities,236627
L10,1,2014,total liabilities,662183
LAF,1,2014,total liabilities,112533
LBM,1,2014,total liabilities,17135
LCG,1,2014,total liabilities,953429
LCM,1,2014,total liabilities,3077
LEC,1,2014,total liabilities,4924
LGC,1,2014,total liabilities,199086
LGL,1,2014,total liabilities,456664
