,code
0,AAA
1,AAM
2,ABS
3,ABT
4,ACC
5,ACL
6,ADS
7,AGG
8,AGM
9,AMD
10,ANV
11,APC
12,APH
13,ASG
14,ASM
15,ASP
16,AST
17,ATG
18,BBC
19,BCE
20,BCG
21,BCM
22,BFC
23,BHN
24,BMC
25,BMP
26,BRC
27,BTP
28,BTT
29,BWE
30,C32
31,C47
32,CAV
33,CCI
34,CCL
35,CDC
36,CEE
37,CHP
38,CIG
39,CII
40,CKG
41,CLC
42,CLG
43,CLL
44,CLW
45,CMG
46,CMV
47,CMX
48,CNG
49,COM
50,CRC
51,CRE
52,CSM
53,CSV
54,CTD
55,CTF
56,CTI
57,CVT
58,D2D
59,DAG
60,DAH
61,DAT
62,DBC
63,DBD
64,DBT
65,DC4
66,DCL
67,DCM
68,DGC
69,DGW
70,DHA
71,DHC
72,DHG
73,DHM
74,DIG
75,DLG
76,DMC
77,DPG
78,DPM
79,DPR
80,DQC
81,DRC
82,DRH
83,DRL
84,DSN
85,DTA
86,DTL
87,DTT
88,DVP
89,DXG
90,DXV
91,ELC
92,EMC
93,EVE
94,EVG
95,FCM
96,FCN
97,FDC
98,FIR
99,FIT
100,FLC
101,FMC
102,FPT
103,FRT
104,FTM
105,GAB
106,GAS
107,GDT
108,GEG
109,GEX
110,GIL
111,GMC
112,GMD
113,GSP
114,GTA
115,GTN
116,GVR
117,HAG
118,HAH
119,HAI
120,HAP
121,HAR
122,HAS
123,HAX
124,HBC
125,HCD
126,HDC
127,HDG
128,HHS
129,HID
130,HII
131,HMC
132,HNG
133,HOT
134,HPG
135,HPX
136,HQC
137,HRC
138,HSG
139,HSL
140,HT1
141,HTI
142,HTL
143,HTN
144,HTV
145,HU1
146,HU3
147,HUB
148,HVH
149,HVN
150,HVX
151,IBC
152,ICT
153,IDI
154,IJC
155,ILB
156,IMP
157,ITA
158,ITC
159,ITD
160,JVC
161,KBC
162,KDC
163,KDH
164,KHP
165,KMR
166,KOS
167,KPF
168,KSB
169,L10
170,LAF
171,LBM
172,LCG
173,LCM
174,LDG
175,LEC
176,LGC
177,LGL
178,LHG
179,LIX
180,LM8
181,LSS
182,MCG
183,MCP
184,MDG
185,MHC
186,MSH
187,MSN
188,MWG
189,NAF
190,NAV
191,NBB
192,NCT
193,NHA
194,NHH
195,NKG
196,NLG
197,NNC
198,NSC
199,NT2
200,NTL
201,NVL
202,NVT
203,OGC
204,OPC
205,PAC
206,PAN
207,PC1
208,PDN
209,PDR
210,PET
211,PGC
212,PGD
213,PHC
214,PHR
215,PIT
216,PJT
217,PLP
218,PLX
219,PME
220,PMG
221,PNC
222,PNJ
223,POM
224,POW
225,PPC
226,PSH
227,PTB
228,PTC
229,PTL
230,PVD
231,PVT
232,PXI
233,PXS
234,PXT
235,QBS
236,QCG
237,RAL
238,RDP
239,REE
240,RIC
241,ROS
242,S4A
243,SAB
244,SAM
245,SAV
246,SBA
247,SBT
248,SBV
249,SC5
250,SCD
251,SCR
252,SCS
253,SFC
254,SFG
255,SFI
256,SGN
257,SGR
258,SGT
259,SHA
260,SHI
261,SHP
262,SII
263,SJD
264,SJF
265,SJS
266,SKG
267,SMA
268,SMB
269,SMC
270,SPM
271,SRC
272,SRF
273,SSC
274,ST8
275,STG
276,STK
277,SVC
278,SVI
279,SVT
280,SZC
281,SZL
282,TAC
283,TBC
284,TCD
285,TCH
286,TCL
287,TCM
288,TCO
289,TCR
290,TCT
291,TDC
292,TDG
293,TDH
294,TDM
295,TDP
296,TDW
297,TEG
298,TGG
299,THG
300,THI
301,TIP
302,TIX
303,TLD
304,TLG
305,TLH
306,TMP
307,TMS
308,TMT
309,TN1
310,TNA
311,TNC
312,TNI
313,TNT
314,TPC
315,TRA
316,TRC
317,TS4
318,TSC
319,TTA
320,TTB
321,TTE
322,TTF
323,TV2
324,TVT
325,TYA
326,UDC
327,UIC
328,VAF
329,VCF
330,VCG
331,VDP
332,VFG
333,VGC
334,VHC
335,VHM
336,VIC
337,VID
338,VIP
339,VIS
340,VJC
341,VMD
342,VNE
343,VNG
344,VNL
345,VNM
346,VNS
347,VOS
348,VPD
349,VPG
350,VPH
351,VPI
352,VPS
353,VRC
354,VRE
355,VSC
356,VSH
357,VSI
358,VTB
359,VTO
360,YBM
361,YEG
